order_id,order_date,customer_id,region,category,channel,units,unit_price,revenue,cost,profit
700005,2025-01-01,CUST-1087,South,Beauty,In-Store,2,38.54,77.08,53.37,23.71
700002,2025-01-01,CUST-1080,North,Sports,In-Store,1,23.27,23.27,15.36,7.91
700001,2025-01-01,CUST-1011,South,Electronics,Online,1,507.06,507.06,315.97,191.08999999999997
700003,2025-01-01,CUST-1109,North,Beauty,In-Store,2,55.32,110.64,61.95,48.69
700004,2025-01-01,CUST-1074,South,Apparel,Online,2,59.01,118.02,67.69,50.33
700008,2025-01-02,CUST-1005,West,Electronics,In-Store,1,346.21,346.21,242.84,103.36999999999998
700007,2025-01-02,CUST-1077,West,Apparel,Online,1,23.59,23.59,15.45,8.14
700011,2025-01-02,CUST-1045,North,Beauty,In-Store,2,31.34,62.68,45.59,17.089999999999996
700010,2025-01-02,CUST-1082,North,Sports,Online,1,169.59,169.59,109.35,60.24000000000001
700012,2025-01-02,CUST-1050,Unknown,Apparel,In-Store,1,27.3,27.3,16.21,11.09
700006,2025-01-02,CUST-1031,East,Beauty,Online,2,71.73,143.46,95.7,47.760000000000005
700009,2025-01-02,CUST-1102,West,Electronics,In-Store,1,377.97,377.97,233.59,144.38000000000002
700013,2025-01-03,CUST-1035,West,Electronics,In-Store,2,313.58,627.16,379.79,247.36999999999995
700014,2025-01-03,CUST-1019,North,Sports,In-Store,2,139.72,279.44,207.22,72.22
700016,2025-01-04,CUST-1050,West,Beauty,In-Store,1,58.0,58.0,42.96,15.04
700019,2025-01-04,CUST-1077,East,Home & Kitchen,Online,1,36.17,36.17,24.34,11.830000000000002
700022,2025-01-04,CUST-1089,East,Apparel,Online,3,52.98,158.94,104.68,54.25999999999999
700015,2025-01-04,CUST-1053,North,Apparel,In-Store,2,16.27,32.54,19.08,13.46
700018,2025-01-04,CUST-1012,South,Sports,In-Store,2,30.89,61.78,34.63,27.15
700020,2025-01-04,CUST-1039,West,Home & Kitchen,In-Store,2,48.25,96.5,72.24,24.260000000000005
700017,2025-01-04,CUST-1026,South,Sports,Online,2,84.88,169.76,114.9,54.859999999999985
700021,2025-01-04,CUST-1002,South,Electronics,In-Store,1,133.14,133.14,92.94,40.19999999999999
700024,2025-01-05,CUST-1093,West,Apparel,Online,3,100.92,302.76,215.16,87.6
700025,2025-01-05,CUST-1046,West,Electronics,Online,2,490.86,981.72,590.83,390.89
700028,2025-01-05,CUST-1059,North,Apparel,In-Store,2,108.35,216.7,153.39,63.31
700029,2025-01-05,CUST-1115,South,Sports,In-Store,1,147.71,147.71,110.58,37.13000000000001
700027,2025-01-05,CUST-1100,North,Beauty,In-Store,3,47.32,141.96,87.85,54.110000000000014
700026,2025-01-05,CUST-1115,West,Electronics,In-Store,2,133.12,266.24,156.91,109.33000000000001
700023,2025-01-05,CUST-1103,South,Apparel,In-Store,2,96.05,192.1,126.46,65.64
700033,2025-01-06,CUST-1019,South,Apparel,In-Store,1,110.55,110.55,80.65,29.89999999999999
700031,2025-01-06,CUST-1105,West,Apparel,In-Store,3,16.5,49.5,33.66,15.840000000000003
700032,2025-01-06,CUST-1053,East,Apparel,In-Store,1,41.44,41.44,26.95,14.489999999999998
700030,2025-01-06,CUST-1070,South,Sports,In-Store,2,126.2,252.4,188.31,64.09
700035,2025-01-07,CUST-1035,South,Home & Kitchen,In-Store,1,200.38,200.38,145.61,54.76999999999998
700037,2025-01-07,CUST-1112,South,Beauty,In-Store,2,64.8,129.6,84.45,45.14999999999999
700034,2025-01-07,CUST-1007,North,Sports,In-Store,1,125.63,125.63,73.43,52.19999999999999
700038,2025-01-07,CUST-1009,West,Home & Kitchen,Online,1,213.2,213.2,135.03,78.16999999999999
700036,2025-01-07,CUST-1078,West,Electronics,Online,2,344.01,688.02,382.25,305.77
700039,2025-01-08,CUST-1018,South,Apparel,Online,3,22.68,68.04,41.54,26.500000000000007
700043,2025-01-08,CUST-1033,North,Beauty,Online,1,50.01,50.01,28.63,21.38
700042,2025-01-08,CUST-1066,West,Electronics,Online,2,90.13,180.26,115.68,64.57999999999998
700041,2025-01-08,CUST-1040,South,Apparel,Online,2,89.16,178.32,112.48,65.83999999999999
700044,2025-01-09,CUST-1068,West,Apparel,In-Store,2,94.36,188.72,135.86,52.859999999999985
700048,2025-01-09,CUST-1067,East,Apparel,Online,1,116.77,116.77,65.4,51.36999999999999
700047,2025-01-09,CUST-1067,South,Electronics,Online,2,86.0,172.0,108.97,63.03
700046,2025-01-09,CUST-1110,North,Electronics,Online,1,496.85,496.85,333.7,163.15000000000003
700045,2025-01-09,CUST-1034,West,Beauty,Online,1,65.43,65.43,39.64,25.790000000000006
700057,2025-01-10,CUST-1010,East,Electronics,In-Store,1,287.75,287.75,180.94,106.81
700049,2025-01-10,CUST-1004,North,Apparel,Online,3,61.8,185.4,108.57,76.83000000000001
700056,2025-01-10,CUST-1104,North,Electronics,Online,3,225.04,675.12,398.45,276.67
700054,2025-01-10,CUST-1042,East,Home & Kitchen,Online,1,125.67,125.67,75.88,49.790000000000006
700051,2025-01-10,CUST-1043,South,Sports,In-Store,2,113.72,227.44,169.23,58.21000000000001
700052,2025-01-10,CUST-1080,North,Apparel,Online,1,57.49,57.49,42.91,14.580000000000005
700058,2025-01-10,CUST-1019,East,Beauty,In-Store,3,61.92,185.76,131.3,54.45999999999998
700050,2025-01-10,CUST-1013,South,Electronics,In-Store,2,461.2,922.4,687.75,234.64999999999998
700053,2025-01-10,CUST-1031,East,Home & Kitchen,In-Store,1,57.55,57.55,39.31,18.239999999999995
700060,2025-01-11,CUST-1005,North,Beauty,Online,2,75.77,151.54,107.53,44.00999999999999
700063,2025-01-11,CUST-1009,West,Electronics,In-Store,1,202.09,202.09,120.48,81.61
700062,2025-01-11,CUST-1032,North,Apparel,In-Store,2,42.7,85.4,60.59,24.810000000000002
700061,2025-01-11,CUST-1087,North,Apparel,In-Store,2,115.75,231.5,166.02,65.47999999999999
700059,2025-01-11,CUST-1096,South,Apparel,In-Store,3,101.61,304.83,222.03,82.79999999999998
700068,2025-01-12,CUST-1026,East,Sports,In-Store,1,65.02,65.02,46.42,18.599999999999994
700064,2025-01-12,CUST-1018,North,Sports,In-Store,2,155.72,311.44,210.71,100.72999999999999
700071,2025-01-12,CUST-1044,South,Apparel,In-Store,3,114.75,344.25,220.37,123.88
700067,2025-01-12,CUST-1119,East,Sports,Online,1,98.6,98.6,73.82,24.78
700069,2025-01-12,CUST-1077,East,Apparel,In-Store,1,76.05,76.05,53.2,22.849999999999994
700070,2025-01-12,CUST-1003,Unknown,Beauty,In-Store,3,80.72,242.16,150.87,91.28999999999999
700066,2025-01-12,CUST-1036,East,Sports,In-Store,1,194.78,194.78,134.09,60.69
700076,2025-01-13,CUST-1096,West,Beauty,In-Store,1,67.0,67.0,49.36,17.64
700074,2025-01-13,CUST-1034,South,Home & Kitchen,In-Store,1,84.55,84.55,60.62,23.93
700075,2025-01-13,CUST-1116,North,Sports,In-Store,1,46.07,46.07,32.57,13.5
