customer_id,total_orders,lifetime_revenue,lifetime_profit,avg_order_value,first_order,last_order
CUST-1115,22,8038.3,2727.5600000000004,365.38,2025-01-05,2025-12-29
CUST-1090,26,7845.03,2936.5899999999997,301.73,2025-02-04,2025-12-29
CUST-1017,15,7058.46,2575.85,470.56,2025-01-24,2025-11-30
CUST-1104,23,6852.58,2451.71,297.94,2025-01-10,2025-12-10
CUST-1027,18,6844.3,2407.0,380.24,2025-01-22,2025-12-30
CUST-1058,16,6646.32,2461.34,415.39,2025-01-28,2025-12-17
CUST-1026,20,6489.39,1958.35,324.47,2025-01-04,2025-12-23
CUST-1082,24,6407.58,2201.31,266.98,2025-01-02,2025-12-31
CUST-1083,22,6263.43,2259.31,284.7,2025-02-01,2025-12-28
CUST-1047,21,6262.76,2243.97,298.23,2025-02-07,2025-12-16
CUST-1095,24,6160.0,2098.9,256.67,2025-01-25,2025-12-25
CUST-1021,20,6120.33,2129.49,306.02,2025-02-20,2025-12-17
CUST-1019,20,5949.47,2040.1599999999999,297.47,2025-01-03,2025-11-16
CUST-1052,14,5834.19,1935.77,416.73,2025-01-20,2025-11-26
CUST-1075,24,5686.03,2116.81,236.92,2025-02-18,2025-12-29
CUST-1007,22,5580.26,1860.8400000000001,253.65,2025-01-07,2025-12-21
CUST-1014,25,5311.62,1856.76,212.46,2025-01-24,2025-12-19
CUST-1003,17,5263.67,1828.44,309.63,2025-01-12,2025-12-28
CUST-1106,18,5236.2,1968.98,290.9,2025-02-27,2025-11-20
CUST-1041,24,5204.14,1743.55,216.84,2025-01-28,2025-12-22
CUST-1018,20,5174.62,1868.83,258.73,2025-01-08,2025-12-09
CUST-1025,20,5079.28,1816.65,253.96,2025-01-23,2025-11-29
CUST-1061,13,4996.59,1791.4899999999998,384.35,2025-02-03,2025-11-27
CUST-1034,23,4955.85,1598.39,215.47,2025-01-09,2025-12-16
CUST-1039,20,4884.61,1659.8500000000001,244.23,2025-01-04,2025-12-27
CUST-1038,20,4883.45,1861.24,244.17,2025-01-15,2025-12-27
CUST-1032,22,4811.19,1569.34,218.69,2025-01-11,2025-12-23
CUST-1048,20,4784.57,1615.0900000000001,239.23,2025-02-17,2025-12-25
CUST-1031,22,4761.84,1610.14,216.45,2025-01-02,2025-12-10
CUST-1005,14,4646.09,1751.6899999999998,331.86,2025-01-02,2025-12-16
CUST-1013,18,4573.12,1471.6299999999999,254.06,2025-01-10,2025-12-29
CUST-1068,20,4452.12,1407.6000000000001,222.61,2025-01-09,2025-12-26
CUST-1074,16,4434.25,1591.44,277.14,2025-01-01,2025-12-15
CUST-1116,20,4410.84,1569.8100000000002,220.54,2025-01-13,2025-12-23
CUST-1064,17,4392.21,1507.28,258.37,2025-01-27,2025-12-28
CUST-1040,16,4338.68,1561.79,271.17,2025-01-08,2025-12-02
CUST-1009,15,4268.83,1535.43,284.59,2025-01-07,2025-11-12
CUST-1079,21,4251.39,1433.5,202.45,2025-01-26,2025-10-18
CUST-1091,16,4216.99,1411.04,263.56,2025-02-06,2025-10-16
CUST-1087,23,4216.77,1431.03,183.34,2025-01-01,2025-12-21
CUST-1102,15,4135.16,1446.78,275.68,2025-01-02,2025-10-19
CUST-1086,17,4125.18,1465.26,242.66,2025-01-31,2025-12-23
CUST-1063,20,4117.01,1429.16,205.85,2025-01-16,2025-12-20
CUST-1089,19,4045.5299999999997,1547.6699999999998,212.92,2025-01-04,2025-11-29
CUST-1100,20,3987.72,1374.82,199.39,2025-01-05,2025-12-29
CUST-1051,24,3941.87,1296.08,164.24,2025-01-23,2025-12-16
CUST-1008,11,3833.8599999999997,1172.32,348.53,2025-03-07,2025-12-06
CUST-1093,20,3827.21,1399.06,191.36,2025-01-05,2025-11-22
CUST-1046,16,3777.96,1427.87,236.12,2025-01-05,2025-12-30
CUST-1010,19,3758.69,1392.4899999999998,197.83,2025-01-10,2025-11-26
CUST-1036,15,3758.54,1358.76,250.57,2025-01-12,2025-12-26
CUST-1066,10,3750.6099999999997,1367.1699999999998,375.06,2025-01-08,2025-11-21
CUST-1033,17,3734.14,1338.54,219.66,2025-01-08,2025-12-04
CUST-1097,13,3728.22,1238.64,286.79,2025-02-01,2025-11-17
CUST-1080,19,3714.15,1379.3500000000001,195.48,2025-01-01,2025-12-03
CUST-1070,17,3693.85,1185.29,217.29,2025-01-06,2025-12-20
CUST-1072,15,3688.55,1236.71,245.9,2025-01-19,2025-11-26
CUST-1049,15,3653.79,1130.29,243.59,2025-01-14,2025-12-16
CUST-1076,18,3626.11,1296.58,201.45,2025-02-12,2025-12-31
CUST-1044,13,3610.09,1242.49,277.7,2025-01-12,2025-12-08
CUST-1113,15,3595.61,1279.9299999999998,239.71,2025-01-23,2025-12-26
CUST-1118,15,3575.93,1425.47,238.4,2025-01-24,2025-12-21
CUST-1103,17,3403.35,1176.5800000000002,200.2,2025-01-05,2025-12-12
CUST-1006,16,3387.08,1178.1,211.69,2025-01-16,2025-12-30
CUST-1023,14,3366.28,1234.26,240.45,2025-03-27,2025-12-18
CUST-1057,11,3356.97,1256.21,305.18,2025-01-16,2025-11-17
CUST-1043,16,3356.2400000000002,1182.69,209.77,2025-01-10,2025-12-11
CUST-1050,18,3336.77,1237.3400000000001,185.38,2025-01-02,2025-12-23
CUST-1004,21,3290.69,1208.35,156.7,2025-01-10,2025-12-14
CUST-1073,18,3263.79,1154.1399999999999,181.32,2025-02-17,2025-12-28
CUST-1060,16,3215.16,1085.65,200.95,2025-01-20,2025-12-22
CUST-1042,14,3174.24,1126.4299999999998,226.73,2025-01-10,2025-09-07
CUST-1071,11,3172.14,1030.8100000000002,288.38,2025-01-14,2025-12-29
CUST-1096,18,3138.13,1017.1000000000001,174.34,2025-01-11,2025-10-27
CUST-1015,16,3120.34,1095.73,195.02,2025-02-11,2025-12-31
CUST-1081,12,3094.18,1139.82,257.85,2025-01-23,2025-09-02
CUST-1094,16,3063.32,1136.3899999999999,191.46,2025-01-30,2025-12-22
CUST-1085,17,3059.9900000000002,947.72,180.0,2025-02-13,2025-12-31
CUST-1022,19,2968.55,1128.26,156.24,2025-03-14,2025-12-13
CUST-1065,13,2960.7599999999998,1056.29,227.75,2025-04-09,2025-12-21
