month,total_revenue,total_profit,gross_margin_pct,total_orders,avg_order_value,active_customers
2025-01,37433.07,12926.14,0.3453,175,213.9,95
2025-02,38107.48,13176.96,0.3458,159,239.67,88
2025-03,42984.5,15139.43,0.3522,171,251.37,91
2025-04,38011.78,13445.85,0.3537,170,223.6,88
2025-05,29484.8,10246.86,0.3475,156,189.01,85
2025-06,36293.72,12411.26,0.342,157,231.17,85
2025-07,43862.95,15614.7,0.356,182,241.01,97
2025-08,35491.82,12035.37,0.3391,159,223.22,89
2025-09,35960.65,12697.86,0.3531,145,248.0,86
2025-10,38873.4,13183.49,0.3391,164,237.03,88
2025-11,38557.24,13431.92,0.3484,156,247.16,88
2025-12,35723.47,12606.28,0.3529,170,210.14,86
